City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,broome,42.2506,-75.833,5.67,76,20,3.09,US,1699919339
1,lillesand,58.2488,8.3778,1.05,80,100,11.32,NO,1699919340
2,dudinka,69.4058,86.1778,-16.32,88,69,4.75,RU,1699919341
3,edinburgh of the seven seas,-37.0676,-12.3116,13.64,77,7,11.14,SH,1699919128
4,west island,-12.1568,96.8225,25.99,83,75,4.12,CC,1699919045
5,port elizabeth,-33.918,25.5701,16.29,77,20,4.63,ZA,1699919126
6,port-aux-francais,-49.35,70.2167,6.86,97,100,16.64,TF,1699919345
7,ilulissat,69.2167,-51.1,-3.99,63,75,8.23,GL,1699919346
8,bonthe,7.5264,-12.505,26.75,86,100,2.13,SL,1699919347
9,waitangi,-43.9535,-176.5597,13.2,84,4,9.38,NZ,1699919347
10,muromtsevo,56.3724,75.2418,0.58,90,96,1.51,RU,1699919348
11,queenstown,-31.8976,26.8753,10.71,81,100,3.47,ZA,1699919349
12,ushuaia,-54.8,-68.3,3.81,65,40,8.75,AR,1699919054
13,grytviken,-54.2811,-36.5092,2.38,98,100,3.57,GS,1699919352
14,gazojak,41.1875,61.4036,6.96,36,100,4.36,TM,1699919353
15,tazovsky,67.4667,78.7,-19.15,96,8,3.59,RU,1699919307
16,longyearbyen,78.2186,15.6401,-10.09,79,75,4.12,SJ,1699919135
17,bethel,41.3712,-73.414,6.47,70,75,1.54,US,1699919356
18,ridder,50.355,83.5133,-1.37,97,100,1.43,KZ,1699919356
19,tiksi,71.6872,128.8694,-14.36,91,100,3.07,RU,1699919357
20,puerto natales,-51.7236,-72.4875,1.97,77,53,3.93,CL,1699919358
21,anadyr,64.75,177.4833,-11.72,72,33,13.86,RU,1699919193
22,geraldton,-28.7667,114.6,22.23,78,100,4.63,AU,1699919248
23,shengli,37.4564,118.4856,3.59,33,100,2.0,CN,1699919363
24,gilgit,35.9221,74.3087,7.46,45,1,1.57,PK,1699919364
25,blackmans bay,-43.0167,147.3167,16.4,46,62,0.45,AU,1699919121
26,petropavlovsk-kamchatsky,53.0452,158.6483,-3.08,74,0,12.52,RU,1699919366
27,lebu,-37.6167,-73.65,10.7,83,31,3.01,CL,1699919367
28,punta arenas,-53.15,-70.9167,4.06,65,20,10.29,CL,1699919368
29,happy valley-goose bay,53.3168,-60.3315,-1.83,69,75,6.69,CA,1699919368
30,kingston,17.997,-76.7936,29.53,77,20,7.72,JM,1699918836
31,mesoraca,39.0768,16.7889,14.84,74,14,2.43,IT,1699919370
32,afaahiti,-17.75,-149.2833,27.93,88,93,5.7,PF,1699919371
33,hithadhoo,-0.6,73.0833,26.99,81,88,3.63,MV,1699919372
34,rantoul,40.3084,-88.1559,12.68,43,0,2.06,US,1699919373
35,selkirk,50.1436,-96.8845,5.04,81,100,1.34,CA,1699919373
36,dakoutun,39.5833,117.2289,1.18,47,75,2.12,CN,1699919374
37,wejherowo,54.6057,18.2356,5.98,89,99,1.34,PL,1699919375
38,east london,-33.0153,27.9116,15.99,74,100,2.67,ZA,1699919376
39,albany,42.6001,-73.9662,2.97,72,100,0.67,US,1699919377
40,yellowknife,62.456,-114.3525,-6.71,86,100,2.06,CA,1699919168
41,winnemucca,40.973,-117.7357,17.03,15,0,4.63,US,1699919256
42,bathsheba,13.2167,-59.5167,28.34,74,20,9.77,BB,1699919380
43,labuan,5.2767,115.2417,26.2,100,20,0.0,MY,1699919380
44,karmala,18.4167,75.2,21.42,45,80,2.72,IN,1699919381
45,penhalonga,-18.8911,32.6978,13.21,93,10,2.34,ZW,1699919384
46,qamdo,31.1667,97.2333,-6.61,58,3,1.83,CN,1699919385
47,pandan,14.0453,124.1694,27.46,85,100,7.17,PH,1699919386
48,isokyro,63.0117,22.3333,-1.24,92,100,2.81,FI,1699919386
49,bilibino,68.0546,166.4372,-28.08,100,100,2.0,RU,1699919152
50,olonkinbyen,70.9221,-8.7187,-1.79,70,92,2.87,SJ,1699919131
51,adamstown,-25.066,-130.1015,22.83,84,94,7.36,PN,1699919389
52,east end,34.5507,-92.341,16.16,64,100,2.48,US,1699919389
53,buka,40.8108,69.1986,7.66,39,0,0.95,UZ,1699919390
54,westport,41.1415,-73.3579,7.17,73,100,3.58,US,1699919391
55,viqueque,-8.8673,126.3658,30.77,58,4,0.77,TL,1699919392
56,kimbe,-5.5502,150.1429,30.81,56,99,0.39,PG,1699919393
57,vung tau,10.346,107.0843,26.39,81,81,2.14,VN,1699919393
58,rio grande,-32.035,-52.0986,20.06,92,100,5.4,BR,1699919394
59,georgetown,5.4112,100.3354,27.75,92,20,1.54,MY,1699919396
60,pak chong,14.708,101.4161,22.34,93,87,6.0,TH,1699919396
61,aleg,17.0481,-13.9209,29.82,12,36,5.09,MR,1699919397
62,thompson,55.7435,-97.8558,-1.91,86,100,1.54,CA,1699919369
63,ta`u,-14.2336,-169.5144,28.18,81,72,5.74,AS,1699919399
64,iqaluit,63.7506,-68.5145,-17.95,64,0,3.09,CA,1699919401
65,arfoud,31.4348,-4.2375,20.17,26,98,1.47,MA,1699919402
